,Unnamed: 0,timestamp,ticker,current_price,predicted_price,target_time,actual_price,error_pct,error_abs,confidence,signal,timestamp_parsed,target_time_parsed,prediction_id
44,,2025-10-31 16:30:31,XOM,113.9000015258789,113.93559395807972,2025-10-31 17:30:31,,,,66.66666666666666,HOLD,,,9
45,,2025-10-31 16:30:32,CAT,577.5499877929688,577.7966088768994,2025-10-31 17:30:32,,,,66.66666666666666,HOLD,,,10
46,,2025-10-31 16:30:32,BA,200.6000061035156,200.66269128368307,2025-10-31 17:30:32,,,,66.66666666666666,HOLD,,,11
47,,2025-10-31 16:30:33,META,652.0449829101562,652.248739420562,2025-10-31 17:30:33,,,,100,HOLD,,,12
48,,2025-10-31 16:31:22,JBFCF,4,4.000786706152325,2025-10-31 17:31:22,,,,100,HOLD,,,13
49,,2025-10-31 16:31:36,EMI.SI,0.3549999892711639,0.3551109226590494,2025-10-31 17:31:36,,,,66.66666666666666,HOLD,,,14
50,,2025-10-31 17:52:28,AAPL,271.54998779296875,271.63484402124067,2025-10-31 18:52:28,,,,100,HOLD,,,15
51,,2025-10-31 17:52:29,MSFT,517.0399780273438,517.2015470362684,2025-10-31 18:52:29,,,,100,HOLD,,,16
52,,2025-10-31 17:52:29,AMZN,246.7050018310547,246.80865521419,2025-10-31 18:52:29,,,,100,HOLD,,,17
53,,2025-10-31 17:52:29,GOOGL,281.3399963378906,281.4279118305235,2025-10-31 18:52:29,,,,100,HOLD,,,18
54,,2025-10-31 17:52:30,TSLA,448.9500122070313,449.0903038897088,2025-10-31 18:52:30,,,,100,HOLD,,,19
55,,2025-10-31 17:52:30,NVDA,203.875,203.9387085778554,2025-10-31 18:52:30,,,,100,HOLD,,,20
56,,2025-10-31 17:52:31,JPM,310.4700927734375,310.53115495646193,2025-10-31 18:52:31,,,,100,HOLD,,,21
57,,2025-10-31 17:52:31,JNJ,188.26499938964844,188.3238300229829,2025-10-31 18:52:31,,,,66.66666666666666,HOLD,,,22
58,,2025-10-31 17:52:32,XOM,114.6500015258789,114.68582832439924,2025-10-31 18:52:32,,,,66.66666666666666,HOLD,,,23
59,,2025-10-31 17:52:32,CAT,575.1699829101562,575.4116412233806,2025-10-31 18:52:32,,,,100,HOLD,,,24
60,,2025-10-31 17:52:33,BA,200.08999633789065,200.1525221459092,2025-10-31 18:52:33,,,,66.66666666666666,HOLD,,,25
61,,2025-10-31 17:52:33,META,652.7050170898438,652.9792518346142,2025-10-31 18:52:33,,,,100,HOLD,,,26
62,,2025-10-31 17:52:40,EMI.SI,0.3549999892711639,0.3551109226590494,2025-10-31 18:52:40,,,,66.66666666666666,HOLD,,,27
63,,2025-10-31 17:52:48,JBFCF,3.5899999141693115,3.591121747591912,2025-10-31 18:52:48,,,,100,HOLD,,,28
64,,2025-10-31 17:54:44,PSTV,0.5286999940872192,0.5288652067162098,2025-10-31 18:54:44,,,,66.66666666666666,HOLD,,,29
65,,2025-10-31 17:54:53,IMUX,0.786300003528595,0.7865457131790794,2025-10-31 18:54:53,,,,66.66666666666666,HOLD,,,30
66,,2025-10-31 17:55:12,ACET,0.7391999959945679,0.7394309874378323,2025-10-31 18:55:12,,,,66.66666666666666,HOLD,,,31
67,,2025-10-31 17:55:26,IAUX,0.9668999910354614,0.9672021360917816,2025-10-31 18:55:26,,,,66.66666666666666,HOLD,,,32
68,,2025-10-31 17:55:37,RVPH,0.5940999984741211,0.5942856478475445,2025-10-31 18:55:37,,,,66.66666666666666,HOLD,,,33
69,,2025-10-31 17:59:44,AMLX,13.93000030517578,13.934353269045642,2025-10-31 18:59:44,,,,66.66666666666666,HOLD,,,34
70,,2025-10-31 17:59:48,BIVI,1.7699999809265137,1.770553085434614,2025-10-31 18:59:48,,,,66.66666666666666,HOLD,,,35
71,,2025-10-31 18:00:17,DSWL,3.5,3.499764268102856,2025-10-31 19:00:17,,,,66.66666666666666,HOLD,,,36
72,,2025-10-31 18:00:28,SIGA,8.210000038146973,8.21256556813654,2025-10-31 19:00:28,,,,66.66666666666666,HOLD,,,37
73,,2025-10-31 18:01:23,TLRY,1.3350000381469729,1.3354172102076336,2025-10-31 19:01:23,,,,66.66666666666666,HOLD,,,38
74,,2025-10-31 18:01:29,PLUG,2.615000009536743,2.615817166773773,2025-10-31 19:01:29,,,,66.66666666666666,HOLD,,,39
75,,2025-10-31 18:01:38,SOXS,3.3550000190734863,3.3564096260932663,2025-10-31 19:01:38,,,,66.66666666666666,HOLD,,,40
76,,2025-10-31 18:01:48,WULF,15.234999656677246,15.242482233529229,2025-10-31 19:01:48,,,,100,HOLD,,,41
77,,2025-10-31 18:01:52,F,13.05500030517578,13.059079841672872,2025-10-31 19:01:52,,,,100,HOLD,,,42
78,,2025-10-31 18:02:29,BJDX,1.9110000133514404,1.9115971787377424,2025-10-31 19:02:29,,,,66.66666666666666,HOLD,,,43
79,,2025-10-31 18:02:42,IOBT,0.9505000114440918,0.9508993650896403,2025-10-31 19:02:42,,,,66.66666666666666,HOLD,,,44
80,,2025-10-31 18:02:57,WLDS,2.609999895095825,2.610815489854964,2025-10-31 19:02:57,,,,66.66666666666666,HOLD,,,45
81,,2025-10-31 18:03:01,OPEN,7.764999866485596,7.7682623398859425,2025-10-31 19:03:01,,,,66.66666666666666,HOLD,,,46
